ID,Survey Type,Gender,Age,English,Education,Jacob was 27th in line at the airport. He was also 27th from the back of the line. How many people were in line?,Gertrude is taller than Janelle. Nancy is taller than Gertrude. Who is the tallest?,Cup is to coffee as bowl is to ,"From the following two statements, which conclusion is absolutely true?   None of the gardeners are tennis players.   All writers are gardeners.",Which of the following values is NOT equal to 11*(7-1)?,"Is the phrase, “Madam, I’m Adam,” spelled the same written forward as backward?",Which of these numbers is not like the others?,How many of the five pairs listed below are duplicates? Enter a numerical value only.      Suspicious AND Spacious;      Conspicuous AND Conspicuous;          Malicious AND Malicious;    Gray AND Grey;      Hummingbird AND Humningbird," Ernie had $10 in cash, with which he purchased gum for $1.29, a candy bar for $1.49 and a beverage for $2.39. If he does not have to pay sales tax, how much cash remains? ",Three painters can paint three walls in three minutes. How many painters are needed to paint 27 walls in nine minutes?,Duration,Opened (UTC),Finished (UTC),Overtime (s),Unfocused,Treatment ,Score
45,b,Female,28,No,Graduate degree and above,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,4,3,$4.83 ,9,6,11/21/19 4:00,11/21/19 4:05,0,0,1,9

46,d,Female,19,No,Undergraduate degree,53,Nancy,Soup,"Writers are not tennis players., Writers are tennis players.",5+1*(22-10),Yes,4,3,$4.83 ,9,4,11/21/19 4:02,11/21/19 4:07,65,0,0,8

47,a,Male,26,No,Graduate degree and above,53,Nancy,Soup,Writers are not tennis players.,6*7 + 8*3,Yes,4,2,$5.17 ,12,4,11/21/19 4:29,11/21/19 4:32,0,0,1,7

48,e,Female,20,Yes,Graduate degree and above,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,4,`2,$4.83 ,3,6,11/21/19 4:32,11/21/19 4:38,23,0,0,8

49,e,Female,24,No,Undergraduate degree,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),No,4,2,$5.17 ,12,6,11/21/19 4:47,11/21/19 4:51,0,0,0,7

50,d,Female,25,No,Graduate degree and above,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),No,4,2,$4.83 ,9,4,11/21/19 5:32,11/21/19 5:38,141,0,0,9

51,b,Male,19,No,Graduate degree and above,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,4,2,$4.83 ,9,6,11/21/19 6:11,11/21/19 6:23,359,0,1,10

52,f,Female,20,Yes,Undergraduate degree,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,4,2,$4.83 ,3,8,11/21/19 7:41,11/21/19 7:46,0,0,0,9

53,b,Female,29,No,Undergraduate degree,55,Nancy,Soup,Writers are not tennis players.,6*7 + 8*3,Yes,4,2,$4.83 ,9,6,11/21/19 12:44,11/21/19 12:50,0,0,1,8

54,f,Male,26,No,Graduate degree and above,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,4,2,$4.83 ,3,8,11/21/19 13:31,11/21/19 13:37,0,0,0,9

55,a,Female,26,No,Graduate degree and above,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,4,2,$4.83 ,6,4,11/21/19 15:28,11/21/19 15:32,0,0,1,9

56,e,Female,27,Yes,Graduate degree and above,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,4,3,$4.83 ,9,6,11/21/19 15:51,11/21/19 16:25,1678,2,0,9

57,b,Female,24,No,Graduate degree and above,53,Nancy,food,Writers are not tennis players.,5+1*(22-10),No,4,1,$4.83 ,9,6,11/21/19 18:58,11/21/19 19:06,127,0,1,7

58,e,Male,24,Yes,Graduate degree and above,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,4,2,$4.83 ,9,6,11/21/19 19:21,11/21/19 19:27,3,0,0,10

59,f,Female,19,Yes,Graduate degree and above,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,4,2,$4.83 ,9,8,11/21/19 20:30,11/21/19 20:33,0,0,0,10

60,e,Male,18,No,Graduate degree and above,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,4,Two,$4.83 ,9,6,11/21/19 20:37,11/21/19 20:43,0,0,0,10

61,d,Female,18,Yes,Undergraduate degree,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,4,2,$4.83 ,9,4,11/21/19 20:48,11/21/19 20:52,10,0,0,10

62,a,Female,25,No,Graduate degree and above,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,4,2,Don’t know,6,4,11/21/19 23:22,11/21/19 23:26,8,0,1,8

63,b,Female,25,Yes,Graduate degree and above,54,Nancy,Soup,"Writers are not tennis players., Writers are tennis players.",1084 - 1018,Yes,11,Two,$5.83 ,9,6,11/21/19 23:26,11/21/19 23:30,0,0,1,5

64,d,Male,23,Yes,Undergraduate degree,53,Nancy,food,Writers are not tennis players.,5+1*(22-10),Yes,4,2,$5.17 ,9,4,11/22/19 8:16,11/22/19 8:21,84,0,0,8

65,c,Male,27,Yes,Graduate degree and above,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,4,2,$4.83 ,3,8,11/23/19 2:45,11/23/19 2:51,0,0,1,9

66,c,Female,22,No,Graduate degree and above,55,Nancy,Soup,"Writers are not tennis players., Writers are tennis players.",5+1*(22-10),Yes,4,2,$5.17 ,12,8,11/24/19 2:29,11/24/19 2:37,0,0,1,6

67,c,Female,23,No,Graduate degree and above,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,4,2,$4.83 ,9,8,11/24/19 3:01,11/24/19 3:05,0,0,1,10

68,a,Female,21,No,Graduate degree and above,53,Nancy,food,Writers are not tennis players.,5+1*(22-10),Yes,4,2,$4.83 ,9,4,11/24/19 3:02,11/24/19 3:07,23,0,1,9

69,c,Female,21,No,Undergraduate degree,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,4,2,$4.83 ,9,8,11/24/19 3:07,11/24/19 3:13,0,0,1,10

70,a,Female,22,No,Graduate degree and above,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,4,2,$4.83 ,3,4,11/24/19 3:19,11/24/19 3:24,26,0,1,9

71,d,Female,23,No,Graduate degree and above,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),No,11,2,$5.83 ,3,4,11/24/19 3:25,11/24/19 3:30,48,0,0,6

72,d,Female,24,No,Graduate degree and above,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),No,4,2,$4.83 ,9,4,11/24/19 3:35,11/24/19 3:39,0,0,0,9

73,f,Female,21,No,Undergraduate degree,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,4,2,$4.83 ,9,8,11/24/19 3:41,11/24/19 3:48,0,0,0,10

74,c,Female,23,No,Graduate degree and above,55,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,4,3,$5.17 ,9,8,11/24/19 3:54,11/24/19 4:01,0,0,1,7

75,f,Female,23,No,Graduate degree and above,53,Gertrude,Soup,"Writers are not tennis players., Some writers are not gardeners.",5+1*(22-10),Yes,4,v_vv,$5.17 ,3,8,11/24/19 3:06,11/24/19 4:11,3461,0,0,5

76,b,Female,23,No,Undergraduate degree,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,4,2,$4.83 ,9,6,11/24/19 6:01,11/24/19 6:05,0,0,1,10

77,e,Female,22,No,Undergraduate degree,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,4,2,$4.83 ,9,6,11/24/19 6:20,11/24/19 6:27,54,0,0,10

78,f,Female,22,No,Undergraduate degree,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,4,2,$4.83 ,12,8,11/24/19 6:59,11/24/19 7:06,0,0,0,9

79,f,Female,21,No,Undergraduate degree,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),No,4,3,$4.83 ,9,8,11/24/19 10:33,11/24/19 10:39,0,0,0,8

80,b,Male,29,No,Undergraduate degree,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,4,2,$4.83 ,3,6,11/24/19 17:15,11/24/19 17:21,0,0,1,9

81,e,Female,29,No,Graduate degree and above,53,Nancy,food,Writers are not tennis players.,5+1*(22-10),Yes,4,2,$4.83 ,9,6,11/24/19 17:47,11/24/19 17:52,0,0,0,9

82,c,Female,32,No,Graduate degree and above,27,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),No,4,2,$4.83 ,9,8,11/24/19 17:47,11/24/19 17:53,0,0,1,8

83,e,Male,26,No,Graduate degree and above,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,4,2,$4.83 ,9,6,11/24/19 17:57,11/24/19 18:03,21,0,0,10

84,c,Female,24,Yes,Graduate degree and above,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,4,2,$5.83 ,9,8,11/24/19 18:05,11/24/19 18:07,0,0,1,9

85,f,Female,25,No,Graduate degree and above,55,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),No,4,2,$4.83 ,9,8,11/24/19 18:04,11/24/19 18:13,36,0,0,8

86,c,Female,37,Yes,Undergraduate degree,53,Nancy,Soup,Writers are not tennis players.,1084 - 1018,Yes,4,2,$4.83 ,3,8,11/24/19 18:06,11/24/19 18:13,0,0,1,8

87,a,Male,26,No,Graduate degree and above,53,Nancy,Soup,Writers are not tennis players.,1084 - 1018,No,4,1,$5.17 ,9,4,11/24/19 18:22,11/24/19 18:25,0,0,1,6

88,f,Male,28,No,Graduate degree and above,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),No,4,2,$4.83 ,9,8,11/24/19 18:29,11/24/19 18:39,87,0,0,9

89,b,Female,21,No,High School and below,54,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,4,2,$5.17 ,3,6,11/24/19 18:38,11/24/19 18:42,0,0,1,7

90,d,Female,25,No,Graduate degree and above,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,4,3,$4.83 ,9,4,11/24/19 18:39,11/24/19 18:45,108,0,0,9

91,c,Female,21,No,Undergraduate degree,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,4,3,Don’t know,9,8,11/24/19 19:09,11/24/19 19:16,0,0,1,8

92,e,Female,27,No,Graduate degree and above,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,4,2,$4.83 ,3,6,11/24/19 20:59,11/24/19 21:04,0,0,0,9

93,a,Male,27,No,Graduate degree and above,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),No,4,2,$4.83 ,9,4,11/24/19 22:23,11/24/19 22:31,210,0,1,9

94,b,Female,24,No,Graduate degree and above,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,4,3,$5.17 ,3,6,11/24/19 23:05,11/24/19 23:09,0,0,1,7

95,a,Male,24,No,Graduate degree and above,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,11,2,$4.83 ,9,4,11/26/19 4:43,11/26/19 4:47,5,0,1,9

96,c,Female,26,No,Graduate degree and above,53,Nancy,Soup,"Writers are not tennis players., Some writers are not gardeners.",5+1*(22-10),Yes,4,2,$4.83 ,9,8,11/27/19 13:25,11/27/19 13:30,0,0,1,9

97,e,Male,24,Yes,Undergraduate degree,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,4,2,$4.83 ,9,6,11/30/19 22:30,11/30/19 22:35,0,0,0,10

98,c,Male,21,Yes,High School and below,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,4,2,$4.83 ,9,8,11/30/19 22:31,11/30/19 22:35,0,0,1,10

99,b,Male,18,Yes,High School and below,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,4,2,$4.83 ,9,6,11/30/19 22:38,11/30/19 22:43,0,0,1,10

100,b,Female,28,Yes,Graduate degree and above,54,Gertrude,Soup,Writers are not tennis players.,5+1*(22-10),Yes,4,4,$4.83 ,9,6,11/30/19 22:44,11/30/19 22:47,0,0,1,7

101,c,Male,15,No,High School and below,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,4,2,$4.83 ,9,8,11/30/19 23:13,11/30/19 23:18,0,0,1,10

102,a,Male,24,No,Graduate degree and above,54,Nancy,Soup,"Writers are not tennis players., Some writers are not gardeners.",6*7 + 8*3,No,11,3,$5.83 ,9,4,11/30/19 23:42,11/30/19 23:46,0,0,1,3

103,f,Male,19,No,High School and below,55,Nancy,Soup,"Some gardeners are tennis players., Writers are not tennis players.",5+1*(22-10),Yes,4,1,$4.83 ,3,8,11/30/19 23:41,11/30/19 23:46,0,0,0,6

104,f,Female,21,Yes,Undergraduate degree,55,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,4,2,$4.83 ,9,8,12/1/19 0:29,12/1/19 0:34,0,0,0,9

105,f,Female,28,Yes,Undergraduate degree,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,4,2,$4.83 ,9,8,12/1/19 1:03,12/1/19 1:08,0,0,0,10

106,d,Female,25,Yes,Undergraduate degree,53,Nancy,Soup,Writers are not tennis players.,3 * 22,Yes,4,1,$5.17 ,9,4,12/1/19 1:57,12/1/19 2:01,0,0,0,7

107,e,Male,18,Yes,High School and below,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,4,"1,3,5",$5.83 ,9,6,12/1/19 2:33,12/1/19 2:38,0,0,0,8

108,b,Female,30,Yes,High School and below,54,Nancy,food,Writers are not tennis players.,5+1*(22-10),Yes,4,3,$4.83 ,3,6,12/1/19 2:45,12/1/19 2:49,0,0,1,6

109,d,Male,19,Yes,High School and below,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,4,1,Don’t know,15,4,12/1/19 2:45,12/1/19 2:50,16,0,0,7

110,b,Male,20,No,High School and below,53,Nancy,food,Writers are not tennis players.,5+1*(22-10),No,4,2,$5.83 ,6,6,12/1/19 3:08,12/1/19 3:14,3,0,1,6

111,a,Female,18,Yes,High School and below,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,11,2,$5.17 ,3,4,12/1/19 3:23,12/1/19 3:26,0,0,1,7

112,e,Male,20,Yes,Undergraduate degree,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,4,2,$4.83 ,3,6,12/1/19 3:29,12/1/19 3:34,0,0,0,9

113,f,Female,36,Yes,High School and below,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,11,2,$4.83 ,12,8,12/1/19 3:31,12/1/19 3:36,0,0,0,8

114,a,Male,34,Yes,Graduate degree and above,53,Nancy,food,Writers are not tennis players.,5+1*(22-10),Yes,4,2,$4.83 ,9,4,12/1/19 3:33,12/1/19 3:36,0,0,1,9

115,e,Male,33,Yes,Undergraduate degree,54,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,11,2,$4.83 ,3,6,12/1/19 3:35,12/1/19 3:40,0,0,0,7

116,d,Male,34,Yes,Undergraduate degree,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,4,2,$4.83 ,9,4,12/1/19 3:33,12/1/19 3:53,923,2,0,10

117,b,Female,27,Yes,Undergraduate degree,53,Nancy,Soup,"Writers are not tennis players., Writers are tennis players.",5+1*(22-10),No,4,2,$4.83 ,15,6,12/1/19 3:53,12/1/19 4:02,168,0,1,7

118,c,Female,26,Yes,Graduate degree and above,53,Nancy,Soup,"Writers are not tennis players., Writers are tennis players.",(6+5)*6,Yes,4,2,$5.83 ,9,8,12/1/19 4:15,12/1/19 4:18,0,0,1,7

119,b,Male,22,Yes,Undergraduate degree,53,Nancy,food,Writers are not tennis players.,5+1*(22-10),Yes,4,2,$5.17 ,9,6,12/1/19 4:14,12/1/19 4:18,0,0,1,8

120,f,Female,22,Yes,Undergraduate degree,54,Nancy,Soup,Writers are not tennis players.,1084 - 1018,No,4,4,$4.83 ,9,8,12/1/19 4:14,12/1/19 4:19,0,0,0,6

121,f,Female,23,Yes,Undergraduate degree,54,Nancy,Soup,Writers are not tennis players.,1084 - 1018,No,4,4,$4.83 ,9,8,12/1/19 4:20,12/1/19 4:21,0,0,0,6

122,a,Male,30,Yes,Undergraduate degree,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,4,2,$5.17 ,9,4,12/1/19 4:18,12/1/19 4:21,0,0,1,9

123,f,Male,29,Yes,Undergraduate degree,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,4,2,$4.83 ,9,8,12/1/19 4:22,12/1/19 4:23,0,0,0,10

124,c,Male,22,Yes,Undergraduate degree,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,4,3,$4.83 ,9,8,12/1/19 4:31,12/1/19 4:37,0,0,1,9

125,a,Male,17,Yes,High School and below,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,4,2,Don’t know,9,4,12/1/19 4:37,12/1/19 4:39,0,0,1,9

126,a,Female,28,Yes,Undergraduate degree,53,Nancy,Soup,Some writers are not gardeners.,5+1*(22-10),Yes,4,2,$4.83 ,9,4,12/1/19 4:29,12/1/19 4:40,420,0,1,9

127,a,Female,20,Yes,Undergraduate degree,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,4,2,$4.83 ,6,4,12/1/19 4:45,12/1/19 4:48,0,0,1,9

128,c,Female,26,Yes,Undergraduate degree,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,11,2,$4.83 ,12,8,12/1/19 4:43,12/1/19 4:49,0,0,1,8

129,b,Male,17,Yes,High School and below,55,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,4,2,$4.83 ,9,6,12/1/19 4:48,12/1/19 4:51,0,0,1,9

130,e,Prefer not to say,16,Yes,High School and below,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,4,2,$4.83 ,9,6,12/1/19 4:48,12/1/19 4:52,0,0,0,10

131,f,Female,28,Yes,Undergraduate degree,53,Nancy,Soup,Writers are not tennis players.,5+1*(22-10),Yes,4,3,$4.83 ,12,8,12/1/19 4:50,12/1/19 4:56,0,0,0,8

